donut,пончик,804
didn,не сделал,341
mordecai,Мордекай,209
dungeon,подземелье,190
carl,Карл,170
these,эти,159
those,те,144
goblin,гоблин,138
wasn,разве,131
inventory,инвентарь,128
couldn,мог бы,116
toward,к,114
feet,ноги,111
grind,молоть,107
hallway,коридор,105
okay,хорошо,101
brandon,Брэндон,99
margin,допуск,98
crawlers,сканеры,98
crawler,гусеничный робот,97
amzn,амзн,97
mobi,Моби,97
font,шрифт,96
monster,монстр,96
fuck,ебать,91
felt,чувствовал себя,88
hours,часы,87
odette,Одетта,85
loot,добыча,84
hadn,имел,80
minutes,минуты,76
grub,жратва,73
stairs,лестница,70
shit,дерьмо,69
heal,лечить,67
items,предметы,66
wouldn,бы,65
things,вещи,63
imani,Имани,62
maestro,маэстро,62
monsters,монстры,60
barely,едва,56
potion,зелье,56
center,центр,54
yolanda,Иоланда,54
legs,ноги,53
chamber,камера,52
frank,откровенный,52
agatha,Агата,52
goblins,гоблины,51
neighborhood,район,51
doesn,не делает,50
ones,те,49
mongo,монго,48
missile,ракета,47
borant,борант,46
elemental,элементарный,44
days,дни,43
maggie,Мэгги,43
damn,проклятие,42
sigh,вздох,42
pause,пауза,42
subtitle,субтитры,41
mana,мана,41
chris,Крис,41
cage,клетка,41
hiss,шипение,40
torch,факел,40
corpse,труп,40
others,другие,39
claw,коготь,39
years,годы,38
weren,не было,38
fell,упал,38
punch,ударить кулаком,38
earlier,ранее,38
calt,колт,37
toss,бросать,37
rage,ярость,37
cart,тележка,37
longer,дольше,36
bronze,бронза,36
creatures,существа,36
scroll,прокрутка,36
leap,прыгнуть,35
tutorial,учебник,35
glow,светиться,35
armor,броня,34
skull,череп,34
pant,брюки,33
width,ширина,32
guild,гильдия,32
potions,зелья,32
chopper,чоппер,32
copyright,авторское право,31
fist,кулак,31
trap,ловушка,30
aren,арен,30
align,выровнять,29
smash,разгромить,29
dynamite,динамит,29
dingoes,динго,29
glurp,глотать,29
random,случайный,28
syndicate,синдикат,28
weird,странный,28
bigger,больше,28
boom,бум,28
borough,район,28
asshole,засранец,27
spike,шип,27
goddamnit,черт возьми,27
moonshine,самогон,27
descend,спуститься,26
scratch,царапать,26
slam,хлопнуть,26
squeal,визжать,26
achievements,достижения,26
corpses,трупы,26
snap,щелчок,25
skills,навыки,25
recap,резюме,25
contributor,участник,24
blast,взрыв,24
deeper,Глубже,24
blink,моргать,24
rocket,ракета,24
bare,голый,24
enchant,очаровывать,24
teleport,телепортироваться,24
fairy,сказочный,24
crawl,ползти,23
beatrice,Беатрис,23
timer,таймер,23
dozer,бульдозер,23
higher,выше,23
tally,подсчет,23
stairwell,лестничная клетка,23
dingo,динго,23
handleleft,ручкалевая,22
handleright,ручка вправо,22
halfcircleleft,полукруг влево,22
halfcircleright,полукругправый,22
hyphen,дефис,22
humans,люди,22
stats,статистика,22
grunt,ворчать,22
minimap,миникарта,22
grasp,понять,22
yell,кричать,22
notifications,уведомления,22
bounce,подпрыгивать,22
properties,характеристики,22
bolt,болт,22
fairies,феи,22
missiles,ракеты,22
kobolds,кобольды,22
clurichauns,Клюриконы,22
barrel,бочка,21
halfway,наполовину,21
moments,моменты,21
brindle,тигровый,21
crap,дерьмо,20
burst,лопаться,20
doors,двери,20
stat,статистика,20
cloak,плащ,20
debuff,дебафф,20
counter,прилавок,20
followers,последователи,19
span,охватывать,19
cars,автомобили,19
spin,вращаться,19
mutter,бормотать,19
